Date;Open;High;Low;Close;Volume
2024.11.01 12:15;2750.38;2750.68;2747.28;2747.37;1126
2024.11.01 12:30;2747.35;2748.28;2744.84;2747.09;1095
2024.11.01 12:45;2747.15;2750.12;2746.68;2749.65;1051
2024.11.01 13:00;2749.63;2753.14;2749.61;2751.57;1079
2024.11.01 13:15;2751.56;2754.06;2751.38;2752.31;970
2024.11.01 13:30;2752.31;2753.41;2751.65;2752.95;1019
2024.11.01 13:45;2752.94;2753.87;2752.14;2752.97;949
2024.11.01 14:00;2753.05;2754.16;2751.66;2753.77;1267
2024.11.01 14:15;2753.84;2754.63;2750.35;2750.54;1367
2024.11.01 14:30;2756.64;2759.87;2748.88;2755.93;1682
2024.11.01 14:45;2755.73;2758.45;2752.87;2753.74;1551
2024.11.01 15:00;2753.84;2761.53;2753.84;2761.05;1481
2024.11.01 15:15;2761.02;2762.26;2753.29;2753.59;1564
2024.11.01 15:30;2753.65;2759.43;2752.19;2758.13;1572
2024.11.01 15:45;2758.07;2759.49;2755.67;2755.67;1485
2024.11.01 16:00;2757.77;2758.87;2753.37;2756.68;1633
2024.11.01 16:15;2756.69;2757;2748.04;2751.71;1604
2024.11.01 16:30;2751.82;2752.8;2739.74;2739.85;1663
2024.11.01 16:45;2740.01;2747.59;2739.77;2747.16;1652
2024.11.01 17:00;2747.3;2748.3;2742.57;2747.39;1541
2024.11.01 17:15;2747.37;2750.18;2747.04;2750.16;1407
2024.11.01 17:30;2750.18;2750.18;2746.25;2746.68;1391
2024.11.01 17:45;2746.57;2746.83;2742.76;2744.79;1477
2024.11.01 18:00;2744.77;2746.14;2742.69;2743.38;1346
2024.11.01 18:15;2743.25;2744.56;2742.67;2743.61;1335
2024.11.01 18:30;2743.72;2745.26;2740.93;2741.24;1230
2024.11.01 18:45;2741.3;2743.33;2740.47;2743.18;1229
2024.11.01 19:00;2743.15;2743.98;2741.65;2742.28;1150
2024.11.01 19:15;2742.32;2742.75;2738.34;2739.86;1079
2024.11.01 19:30;2739.89;2739.89;2735.44;2735.62;1172
2024.11.01 19:45;2735.61;2737.87;2735.09;2736.32;1095
2024.11.01 20:00;2736.31;2736.95;2733.98;2734.69;1055
2024.11.01 20:15;2734.69;2738.01;2733.53;2737.25;1125
2024.11.01 20:30;2737.35;2738.02;2736.02;2736.81;917
2024.11.01 20:45;2736.77;2737.71;2736.06;2736.21;949
2024.11.01 21:00;2736.26;2737.02;2734.14;2736.6;997
2024.11.01 21:15;2736.51;2736.73;2733.17;2733.57;861
2024.11.01 21:30;2733.52;2735.85;2733.52;2735.22;746
2024.11.01 21:45;2735.25;2735.35;2733.52;2733.92;894
2024.11.01 22:00;2734.14;2734.84;2733.38;2734.62;545
2024.11.01 22:15;2734.63;2734.63;2733.26;2734.53;449
2024.11.01 22:30;2734.48;2735.04;2733.72;2734.52;390
2024.11.01 22:45;2734.58;2736.17;2734.42;2735.84;387
2024.11.04 01:00;2738.13;2740.88;2730.55;2736.63;1683
2024.11.04 01:15;2736.48;2739.47;2736.19;2739.2;789
2024.11.04 01:30;2739.26;2740.3;2737.84;2739.68;674
2024.11.04 01:45;2739.56;2739.93;2738.26;2738.34;476
2024.11.04 02:00;2738.36;2740.01;2737.23;2737.87;803
2024.11.04 02:15;2737.87;2739.78;2736.99;2739.59;740
2024.11.04 02:30;2739.6;2739.6;2738.01;2738.5;748
2024.11.04 02:45;2738.5;2740.98;2738.5;2740.34;910
2024.11.04 03:00;2740.51;2741.33;2735.35;2736.66;1465
2024.11.04 03:15;2736.7;2739.25;2736.49;2738.1;1252
2024.11.04 03:30;2738.04;2739.88;2737.29;2738.18;1361
2024.11.04 03:45;2738.17;2741.11;2737.66;2739.91;1321
2024.11.04 04:00;2739.9;2740.96;2738.06;2738.15;1264
2024.11.04 04:15;2738.13;2739.12;2736.98;2738.53;1057
2024.11.04 04:30;2738.55;2739.41;2737.16;2739.04;1142
2024.11.04 04:45;2739.05;2740.47;2738.18;2739.95;1051
2024.11.04 05:00;2739.93;2742.09;2739.34;2741.92;1221
2024.11.04 05:15;2742.02;2742.27;2740.14;2742.22;1233
2024.11.04 05:30;2742.15;2742.41;2740.58;2741.3;934
