datetime,symbol,open,high,low,close,volume
2025-04-03 02:15:00,FOREXCOM:XAUUSD,3117.935,3143.725,3107.2,3136.15,0.0
2025-04-03 02:30:00,FOREXCOM:XAUUSD,3136.15,3137.39,3125.41,3130.54,0.0
2025-04-03 02:45:00,FOREXCOM:XAUUSD,3130.54,3137.505,3126.43,3134.19,0.0
2025-04-03 04:00:00,FOREXCOM:XAUUSD,3134.19,3146.765,3122.79,3144.375,0.0
2025-04-03 04:15:00,FOREXCOM:XAUUSD,3144.375,3147.68,3132.095,3136.65,0.0
2025-04-03 04:30:00,FOREXCOM:XAUUSD,3136.65,3144.64,3135.815,3142.705,0.0
2025-04-03 04:45:00,FOREXCOM:XAUUSD,3142.705,3146.175,3141.33,3145.9,0.0
2025-04-03 05:00:00,FOREXCOM:XAUUSD,3145.9,3157.23,3145.9,3157.165,0.0
2025-04-03 05:15:00,FOREXCOM:XAUUSD,3157.165,3160.03,3155.885,3159.895,0.0
2025-04-03 05:30:00,FOREXCOM:XAUUSD,3159.895,3161.325,3157.31,3161.05,0.0
2025-04-03 05:45:00,FOREXCOM:XAUUSD,3161.05,3167.855,3159.68,3162.725,0.0
2025-04-03 06:00:00,FOREXCOM:XAUUSD,3162.725,3164.905,3149.685,3150.725,0.0
2025-04-03 06:15:00,FOREXCOM:XAUUSD,3150.725,3152.18,3140.875,3148.27,0.0
2025-04-03 06:30:00,FOREXCOM:XAUUSD,3148.27,3155.73,3144.525,3146.735,0.0
2025-04-03 06:45:00,FOREXCOM:XAUUSD,3146.735,3153.055,3146.25,3151.345,0.0
2025-04-03 07:00:00,FOREXCOM:XAUUSD,3151.345,3156.505,3148.53,3152.02,0.0
2025-04-03 07:15:00,FOREXCOM:XAUUSD,3152.02,3154.5,3148.105,3152.47,0.0
2025-04-03 07:30:00,FOREXCOM:XAUUSD,3152.47,3163.08,3152.335,3160.085,0.0
2025-04-03 07:45:00,FOREXCOM:XAUUSD,3160.085,3160.37,3150.85,3153.52,0.0
2025-04-03 08:00:00,FOREXCOM:XAUUSD,3153.52,3155.405,3150.48,3152.025,0.0
2025-04-03 08:15:00,FOREXCOM:XAUUSD,3152.025,3154.72,3148.05,3150.005,0.0
2025-04-03 08:30:00,FOREXCOM:XAUUSD,3150.005,3151.045,3144.745,3148.915,0.0
2025-04-03 08:45:00,FOREXCOM:XAUUSD,3148.915,3149.18,3142.385,3145.23,0.0
2025-04-03 09:00:00,FOREXCOM:XAUUSD,3145.23,3152.345,3144.95,3149.275,0.0
2025-04-03 09:15:00,FOREXCOM:XAUUSD,3149.275,3149.525,3146.445,3148.21,0.0
2025-04-03 09:30:00,FOREXCOM:XAUUSD,3148.21,3149.87,3146.335,3147.915,0.0
2025-04-03 09:45:00,FOREXCOM:XAUUSD,3147.915,3150.19,3147.13,3148.145,0.0
2025-04-03 10:00:00,FOREXCOM:XAUUSD,3148.145,3149.69,3147.205,3149.23,0.0
2025-04-03 10:15:00,FOREXCOM:XAUUSD,3149.23,3149.725,3147.375,3148.09,0.0
2025-04-03 10:30:00,FOREXCOM:XAUUSD,3148.09,3148.165,3145.98,3146.15,0.0
2025-04-03 10:45:00,FOREXCOM:XAUUSD,3146.15,3146.235,3139.215,3140.44,0.0
2025-04-03 11:00:00,FOREXCOM:XAUUSD,3140.44,3141.04,3135.29,3135.97,0.0
2025-04-03 11:15:00,FOREXCOM:XAUUSD,3135.97,3136.22,3127.715,3130.645,0.0
2025-04-03 11:30:00,FOREXCOM:XAUUSD,3130.645,3133.97,3126.435,3127.795,0.0
2025-04-03 11:45:00,FOREXCOM:XAUUSD,3127.795,3133.265,3124.19,3131.87,0.0
2025-04-03 12:00:00,FOREXCOM:XAUUSD,3131.87,3134.23,3127.955,3131.065,0.0
2025-04-03 12:15:00,FOREXCOM:XAUUSD,3131.065,3131.385,3121.645,3122.48,0.0
2025-04-03 12:30:00,FOREXCOM:XAUUSD,3122.48,3126.22,3116.62,3124.53,0.0
2025-04-03 12:45:00,FOREXCOM:XAUUSD,3124.53,3131.69,3122.33,3127.775,0.0
2025-04-03 13:00:00,FOREXCOM:XAUUSD,3127.775,3128.12,3119.92,3121.05,0.0
2025-04-03 13:15:00,FOREXCOM:XAUUSD,3121.05,3125.92,3120.105,3125.05,0.0
2025-04-03 13:30:00,FOREXCOM:XAUUSD,3125.05,3126.5,3121.21,3122.425,0.0
2025-04-03 13:45:00,FOREXCOM:XAUUSD,3122.425,3130.26,3121.965,3129.085,0.0
2025-04-03 14:00:00,FOREXCOM:XAUUSD,3129.085,3132.095,3127.375,3129.53,0.0
2025-04-03 14:15:00,FOREXCOM:XAUUSD,3129.53,3131.595,3127.98,3128.495,0.0
2025-04-03 14:30:00,FOREXCOM:XAUUSD,3128.495,3130.68,3128.025,3128.625,0.0
2025-04-03 14:45:00,FOREXCOM:XAUUSD,3128.625,3129.955,3126.115,3129.155,0.0
2025-04-03 15:00:00,FOREXCOM:XAUUSD,3129.155,3129.53,3126.92,3128.64,0.0
2025-04-03 15:15:00,FOREXCOM:XAUUSD,3128.64,3129.6,3125.105,3125.765,0.0
2025-04-03 15:30:00,FOREXCOM:XAUUSD,3125.765,3129.195,3124.465,3127.94,0.0
2025-04-03 15:45:00,FOREXCOM:XAUUSD,3127.94,3128.27,3121.7,3121.75,0.0
2025-04-03 16:00:00,FOREXCOM:XAUUSD,3121.75,3123.05,3112.315,3119.385,0.0
2025-04-03 16:15:00,FOREXCOM:XAUUSD,3119.385,3120.055,3104.925,3107.595,0.0
2025-04-03 16:30:00,FOREXCOM:XAUUSD,3107.595,3108.385,3101.135,3107.315,0.0
2025-04-03 16:45:00,FOREXCOM:XAUUSD,3107.315,3113.005,3089.215,3095.57,0.0
2025-04-03 17:00:00,FOREXCOM:XAUUSD,3095.57,3099.69,3087.81,3098.335,0.0
